,Version 11.2.1,Freigegeben: 16.03.2026,,,Aktuelle Aktion: ,Förderung auf den Speicher ,,,,,,,-1500,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Achtung! Die MwSt. kann von der Regierung jederzeit erhoben werden.,,,,,,,,,,,,,
,,Module: AIKO NEOSTAR 3S+,,,,,,,,,,,,,,,,
,,Leistung:,"0,470",kWh,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,M1 oder MB0,MAP0 ,EcoFlow,,,,,,,,,,,,
,,,,10 Jahre Garantie,10 Jahre Garantie,15 Jahre Garantie,,,,,,,,,,,,
Solarfabrik 425,kWp (470 Wp),Anzahl Module,,Huawei S0,Huawei S1,Ecoflow Power Ocean,,,,,,,,,,,,
kWp (425),,,,,,,,,,,,,Huawei LUNA S0 ,,EcoFlow ,,Huawei LUNA S1 ,
,"5,6",12,,11.314 €,12.314 €,12.314 €,,,,,,,,,,,,
#REF!,"6,1",13,,11.614 €,12.614 €,12.614 €,,,,,,,5kWh,"3.990,00 €","5,1 kWh",4.069€,7kWh,"5.586,00 €"
#REF!,"6,6",14,,11.914 €,12.914 €,12.914 €,,,,,,,10kWh,"5.419,00 €","10,2 kWh",5.526€,14kWh,"7.586,00 €"
#REF!,"7,1",15,,12.214 €,13.214 €,13.214 €,,,,,,,15kWh,"6.849,00 €","15,3 kWh",7.029€,21kWh,"9.586,00 €"
#REF!,"7,5",16,,12.514 €,13.514 €,13.514 €,,,,,,,,,"20,4 kWh ",8.932€,,
#REF!,"8,0",17,,12.814 €,13.814 €,13.814 €,,,,,,,,,"25,5 kWh",10.435€,,
#REF!,"8,5",18,,13.114 €,14.114 €,14.114 €,,,,,,,,,"30,6 kWh",11.938€,,
#REF!,"8,9",19,,13.414 €,14.414 €,14.414 €,,,,,,,,,,,,
#REF!,"9,4",20,,13.714 €,14.714 €,14.714 €,,,,,,,,,,,,
#REF!,"9,9",21,,14.014 €,15.014 €,15.014 €,,,,,,,,,,,,
#REF!,"10,3",22,,14.314 €,15.314 €,15.314 €,,,,,,,Smart Meter,,,,,
#REF!,"10,8",23,,14.614 €,15.614 €,15.614 €,,,,,,,Huawei Power Smart Meter,inklusive bei Huawei,,,,
#REF!,"11,3",24,,14.914 €,15.914 €,15.914 €,,,,,,,,,,,,
#REF!,"11,8",25,,15.214 €,16.214 €,16.214 €,,,,,,,,,,,,
#REF!,"12,2",26,,15.514 €,16.514 €,16.514 €,,,,,,,Notstrom inklusive Installation,,,,,
#REF!,"12,7",27,,15.814 €,16.814 €,16.814 €,,,,,,,Huawei Smart Guard inkl. Installation,997€,,,,
#REF!,"13,2",28,,16.114 €,17.114 €,17.114 €,,,,,,,"Ecoflow ""Plus"" Notstrom (Plus ab 15kW)",997€,,,,
#REF!,"13,6",29,,16.414 €,17.414 €,17.414 €,,,,,,,,,,,,
#REF!,"14,1",30,,16.714 €,17.714 €,17.714 €,,,,,,,Zählerschrank Upgrade,1.000€,zusätzlich,,,
#REF!,"14,6",31,,17.014 €,18.014 €,18.014 €,,,,,,,Wandler-Zählerschrank,3.500€,(ab 30kW) zusätzlich,,,
